Time Stamp, Pressure [Pa], SystemState, Alarm State 
Thu 2020-05-07 01:59:39.750 CEST,9133742,7,0
Thu 2020-05-07 01:59:40.0 CEST,9134072,7,0
Thu 2020-05-07 01:59:40.250 CEST,9134596,7,0
Thu 2020-05-07 01:59:40.500 CEST,9134064,7,0
Thu 2020-05-07 01:59:40.750 CEST,9133249,7,0
Thu 2020-05-07 01:59:41.0 CEST,9132524,7,0
Thu 2020-05-07 01:59:41.250 CEST,9131990,7,0
Thu 2020-05-07 01:59:41.500 CEST,9132836,7,0
Thu 2020-05-07 01:59:41.750 CEST,9132238,7,0
Thu 2020-05-07 01:59:42.0 CEST,9133249,7,0
Thu 2020-05-07 01:59:42.250 CEST,9133793,7,0
Thu 2020-05-07 01:59:42.500 CEST,9132868,7,0
Thu 2020-05-07 01:59:42.750 CEST,9132417,7,0
Thu 2020-05-07 01:59:43.0 CEST,9131725,7,0
Thu 2020-05-07 01:59:43.250 CEST,9132689,7,0
Thu 2020-05-07 01:59:43.500 CEST,9131773,7,0
Thu 2020-05-07 01:59:43.750 CEST,9131414,7,0
Thu 2020-05-07 01:59:44.0 CEST,9130831,7,0
Thu 2020-05-07 01:59:44.250 CEST,9131681,7,0
Thu 2020-05-07 01:59:44.500 CEST,9130533,7,0
Thu 2020-05-07 01:59:44.750 CEST,9130626,7,0
Thu 2020-05-07 01:59:45.0 CEST,9131750,7,0
Thu 2020-05-07 01:59:45.250 CEST,9131289,7,0
Thu 2020-05-07 01:59:45.500 CEST,9130354,7,0
Thu 2020-05-07 01:59:45.750 CEST,9130872,7,0
Thu 2020-05-07 01:59:46.0 CEST,9129841,7,0
Thu 2020-05-07 01:59:46.250 CEST,9130011,7,0
Thu 2020-05-07 01:59:46.500 CEST,9129057,7,0
Thu 2020-05-07 01:59:46.750 CEST,9129073,7,0
Thu 2020-05-07 01:59:47.0 CEST,9128715,7,0
Thu 2020-05-07 01:59:47.250 CEST,9129409,7,0
Thu 2020-05-07 01:59:47.500 CEST,9128410,7,0
Thu 2020-05-07 01:59:47.750 CEST,9129583,7,0
Thu 2020-05-07 01:59:48.0 CEST,9129164,7,0
Thu 2020-05-07 01:59:48.250 CEST,9128833,7,0
Thu 2020-05-07 01:59:48.500 CEST,9129955,7,0
Thu 2020-05-07 01:59:48.750 CEST,9129575,7,0
Thu 2020-05-07 01:59:49.0 CEST,9129910,7,0
Thu 2020-05-07 01:59:49.250 CEST,9130241,7,0
Thu 2020-05-07 01:59:49.500 CEST,9130464,7,0
Thu 2020-05-07 01:59:49.750 CEST,9130609,7,0
Thu 2020-05-07 01:59:50.0 CEST,9130283,7,0
Thu 2020-05-07 01:59:50.250 CEST,9130781,7,0
Thu 2020-05-07 01:59:50.500 CEST,9131239,7,0
Thu 2020-05-07 01:59:50.750 CEST,9130986,7,0
Thu 2020-05-07 01:59:51.0 CEST,9130811,7,0
Thu 2020-05-07 01:59:51.250 CEST,9131118,7,0
Thu 2020-05-07 01:59:51.500 CEST,9131706,7,0
Thu 2020-05-07 01:59:51.750 CEST,9131712,7,0
Thu 2020-05-07 01:59:52.0 CEST,9131668,7,0
Thu 2020-05-07 01:59:52.250 CEST,9131873,7,0
Thu 2020-05-07 01:59:52.500 CEST,9130771,7,0
Thu 2020-05-07 01:59:52.750 CEST,9130215,7,0
Thu 2020-05-07 01:59:53.0 CEST,9130723,7,0
Thu 2020-05-07 01:59:53.250 CEST,9129886,7,0
Thu 2020-05-07 01:59:53.500 CEST,9130612,7,0
Thu 2020-05-07 01:59:53.750 CEST,9131290,7,0
Thu 2020-05-07 01:59:54.0 CEST,9131824,7,0
Thu 2020-05-07 01:59:54.250 CEST,9132796,7,0
Thu 2020-05-07 01:59:54.500 CEST,9132289,7,0
Thu 2020-05-07 01:59:54.750 CEST,9133229,7,0
Thu 2020-05-07 01:59:55.0 CEST,9133258,7,0
Thu 2020-05-07 01:59:55.250 CEST,9132952,7,0
Thu 2020-05-07 01:59:55.500 CEST,9133864,7,0
Thu 2020-05-07 01:59:55.750 CEST,9134675,7,0
Thu 2020-05-07 01:59:56.0 CEST,9134802,7,0
Thu 2020-05-07 01:59:56.250 CEST,9135199,7,0
Thu 2020-05-07 01:59:56.500 CEST,9134429,7,0
